id,delta,epsilon,baseline_dist,simp_dist,orig_points,baseline_points,simp_points
721,11.80169029784028,0.5,17.702535446760418,16.695028483716634,791,652,464
722,14.09952655089174,0.5,21.14928982633761,20.11561553716746,1220,1025,774
723,14.786958719501945,0.5,22.180438079252916,20.91688019154986,2275,1533,902
715,13.306630111632863,0.5,19.959945167449295,-1.0,9644,1063,408
725,14.38376809670332,0.5,21.57565214505498,20.346539395232163,1125,757,458
727,-1,0.5,-1,-1,1901,1363,-1
724,12.835401395743846,0.5,19.25310209361577,18.156759888625754,1951,1043,576
726,13.513141839291096,0.5,20.269712758936645,19.115378252060548,1299,630,466
729,12.481761252811557,0.5,18.722641879217335,17.659908363313495,1397,220,122
728,12.278605387959793,0.5,18.41790808193969,-1.0,1182,1062,782
730,11.262520736129778,0.5,16.893781104194666,-1.0,1269,736,448
732,-1,0.5,-1,-1,1824,1234,-1
733,14.805249625138208,0.5,22.20787443770731,20.94267945838034,611,394,296
731,13.899102000684216,0.5,20.848653001026324,-1.0,606,488,402
735,9.46610776429523,0.5,14.199161646442846,13.392069012900265,398,363,310
734,-1,0.5,-1,-1,1790,86,-1
737,-1,0.5,-1,-1,585,339,-1
739,-1,0.5,-1,-1,1096,800,-1
738,14.193508756927814,0.5,21.290263135391722,20.077652916024512,1712,973,766
742,-1,0.5,-1,-1,1648,916,-1
736,14.290410709328851,0.5,21.435616063993276,-1.0,1604,580,364
744,-1,0.5,-1,-1,1694,999,-1
743,10.601498409030722,0.5,15.902247613546082,14.997717954114485,420,224,188
741,-1,0.5,-1,-1,1,1,-1
745,12.947727725101565,0.5,19.421591587652347,18.340440800873317,723,437,334
740,6.374548469549755,0.5,9.561822704324634,9.01495785898836,1658,67,36
747,14.15228117573866,0.5,21.22842176360799,20.01919937178295,1013,753,554
746,13.777797215218692,0.5,20.66669582282804,-1.0,1800,1332,1048
748,11.996162268559383,0.5,17.994243402839075,16.970122962821776,821,404,294
749,12.487519510397552,0.5,18.731279265596328,17.72156569444543,1122,1058,752
751,14.860647747188189,0.5,22.290971620782283,-1.0,2749,1608,892
753,12.322528857938517,0.5,18.483793286907776,17.431667347070622,871,778,584
752,13.502022533578304,0.5,20.253033800367454,19.099489500712288,2425,793,370
755,14.731925471724018,0.5,22.097888207586028,20.839086509165487,1541,1140,712
756,8.849826837144358,0.5,13.274740255716537,12.547566155144583,644,428,330
754,10.233496385412598,0.5,15.350244578118897,14.476370994096571,2473,238,138
757,8.684724128506812,0.5,13.027086192760217,12.28387918742205,1016,161,110
750,13.57916677983701,0.5,20.368750169755515,-1.0,10498,1878,966
758,-1,0.5,-1,-1,1708,750,-1
759,13.876358375849321,0.5,20.814537563773982,19.629128854072274,1726,835,598
761,14.67306196346499,0.5,22.009592945197486,20.755784477216814,1278,886,568
760,13.558268697095459,0.5,20.33740304564319,-1.0,1793,886,626
763,13.855257947733469,0.5,20.782886921600202,19.599132916303866,1277,511,320
762,14.30916895349088,0.5,21.46375343023632,-1.0,1784,548,332
764,13.764784449002477,0.5,20.647176673503715,19.471272381494128,1724,654,518
765,-1,0.5,-1,-1,1629,637,-1
767,12.161497842592157,0.5,18.242246763888236,17.20393404230013,816,704,538
