id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
55,SQUISH,1552,155,54,1244.7970653607913,1147.3061062347097,0.004401915997732431,7.800211749970913,0.75,711.3126087775951
56,DP,1799,400,256,449.2397705086244,414.0614946042021,0.007722292008111253,13.685427666991018,0.75,256.7084402906425
56,DOTS,1799,952,722,29.055728356987125,26.7853864991707,0.036670542001957074,15.136445208016085,0.75,16.603273346849786
56,SQUISH,1799,179,76,1867.2399776257084,1720.9968455393043,0.005276417010463774,10.48817795800278,0.75,1066.9942729289762
57,DP,676,231,114,699.8160541219102,645.0073924134125,0.005097957997350022,6.192092708981363,0.75,399.89488806966295
57,DOTS,676,586,418,30.087762638991475,27.73615203537229,0.02247666599578224,5.703963831969304,0.75,17.193007222280844
57,SQUISH,676,67,18,3783.092229750464,3486.7955472235813,0.003191249998053536,5.380661417002557,0.75,2161.7669884288366
58,DP,1791,350,290,286.24822102010063,263.83332960288044,0.006944292021216825,10.87245016801171,0.75,163.57041201148607
58,DOTS,1791,793,628,27.14766593755164,25.026643429105576,0.04666045799967833,12.762055541970767,0.75,15.512951964315222
58,SQUISH,1791,179,62,1897.8805518374688,1749.2348038940606,0.005558541975915432,7.316705792036373,0.75,1084.5031724785536
59,DP,1721,82,42,360.3070105251181,332.08603865193265,0.005445582995889708,8.443914000003133,0.75,205.88972030006747
59,DOTS,1721,410,276,27.621355842949544,25.46309414066373,0.0325120419729501,9.708994374988833,0.75,15.783631910256883
59,SQUISH,1721,172,60,240.19011698354228,221.3841330894756,0.005005000013625249,8.54601004102733,0.75,137.25149541916701
60,DP,1714,3,4,221.39281544090574,201.27659457689492,0.005970792000880465,9.193348541972227,0.75,126.51018025194614
60,DOTS,1714,121,60,21.653735901028753,19.959470410744498,0.035476500022923574,8.420823876018403,0.75,12.37356337201643
60,SQUISH,1714,171,40,35.11883481009911,32.368698117751656,0.00526008298038505,9.228667875984684,0.75,20.06790560577092
61,DP,1749,528,246,578.0153430181093,532.7494236725514,0.008104124979581684,8.956723625044106,0.75,330.2944817246339
61,DOTS,1749,1153,902,26.677419154996038,24.593072782110372,0.03413883299799636,10.718451667024055,0.75,15.244239517140594
61,SQUISH,1749,174,50,3299.5734963162404,3041.1474882619646,0.004916042002150789,9.24366633297177,0.75,1885.470569323566
62,DP,1673,3,4,90.78016036567067,82.53520183217006,0.006445292005082592,6.441051249013981,0.75,51.87437735181181
62,DOTS,1673,66,34,13.981452055547276,12.885869775679257,0.06325066700810567,8.2426230830024,0.75,7.989401174598443
62,SQUISH,1673,167,54,8.812766596974264,8.126100603097543,0.004381708014989272,8.76997616700828,0.75,5.035866626842436
63,DP,1697,616,270,722.5014268004281,665.9180392627391,0.008237333997385576,10.501749707997078,0.75,412.8579581716732
63,DOTS,1697,1352,1104,24.885732951240136,22.942168805212894,0.032577083009527996,11.491808834049152,0.75,14.220418829280078
63,SQUISH,1697,169,48,3937.585710707999,3629.1862013031096,0.004434458998730406,8.773285001021577,0.75,2250.048977547428
64,DP,1374,556,494,241.92655106964528,222.98288885143407,0.007651624997379258,8.797104375960771,0.75,138.24374346836873
64,DOTS,1374,1244,980,24.597822694354406,22.67651428556701,0.029357583000091836,11.61998241697438,0.75,14.055898682488232
64,SQUISH,1374,137,36,4440.809256235122,4092.9907851512276,0.004807499994058162,8.521390873997007,0.75,2537.6052892772127
65,DP,1223,520,260,501.4503829893398,462.18173924535904,0.007100583985447884,8.530492749996483,0.75,286.5430759939085
65,DOTS,1223,1156,918,30.278098329278457,27.911692520820093,0.34934087499277666,8.184461251017638,0.75,17.301770473873404
65,SQUISH,1223,122,34,3931.3493645482263,3623.440808640465,0.003943666990380734,7.827574875002028,0.75,2246.485351170415
66,DP,1009,143,126,199.59771334294925,183.96959074462342,0.00571374999708496,6.661602459003916,0.75,114.055836195971
66,DOTS,1009,771,438,30.72359203508534,28.32180926665627,0.02644883401808329,7.824037624988705,0.75,17.556338305763052
66,SQUISH,1009,100,26,1048.2218244347728,966.1271489957761,0.004506916011450812,6.721511001000181,0.75,598.983899677013
67,DP,4,2,8,0.0,0.0,0.00344137498177588,5.207921458000783,0.25,0.0
67,DOTS,4,2,8,0.0,0.0,0.015325416985433549,3.827258207980776,0.25,0.0
67,SQUISH,4,1,-1,,-1,0.00305483301053755,-1,-1,-1
68,DP,2184,586,520,244.91828530850572,225.73918530289956,0.008545209013391286,11.703000624023844,0.75,139.95330589057468
68,DOTS,2184,1851,1232,30.80261660653276,28.394989432824495,0.03690391601412557,12.925110916025005,0.75,17.601495203733005
68,SQUISH,2184,218,80,2199.790451184518,2027.5003091699277,0.0058340419782325625,9.960022582992679,0.75,1257.0231149625818
69,DP,3160,312,226,278.52475410074857,256.71437281080165,0.010229291016003117,14.685999376000836,0.75,159.1570023432849
69,DOTS,3160,1335,852,30.938962245957278,28.521140783168732,0.046401958010392264,19.859756666992325,0.75,17.679406997689874
69,SQUISH,3160,316,82,878.1616031841229,809.3780631931402,0.005963208008324727,14.37267595899175,0.75,501.80663039092735
70,DP,766,198,28,2317.66780608966,2136.144432987774,0.005327249993570149,6.5486697089800145,0.75,1324.3816034798058
70,DOTS,766,530,390,30.08112043850113,2317.7288847827276,0.023581290995934978,17.613608040992403,0.5,20.05408029233409
70,SQUISH,766,76,24,2821.914661289217,2600.8987261135244,0.0035669170028995723,6.453802750009345,0.75,1612.5226635938382
71,DP,2082,188,150,228.42309125052878,210.53321787348185,0.008263124997029081,9.109420416003559,0.75,130.52748071458788
71,DOTS,2082,1302,694,30.89340723663364,28.478327287274887,0.03618991599068977,11.095301958965138,0.75,17.65337556379065
71,SQUISH,2082,208,90,406.4004142379396,374.5734354913533,0.024448790994938463,9.524280498997541,0.75,232.22880813596547
72,DP,1688,511,400,276.41160564145434,254.7661486389708,0.00832358401385136,9.520773457974428,0.75,157.9494889379739
72,DOTS,1688,1519,1084,30.64242690431021,28.24734112655585,0.03236708298209123,11.378658042027382,0.75,17.509958231034407
72,SQUISH,1688,168,66,1982.4923049712363,1827.2194064269406,0.005687790981028229,8.50072691796231,0.75,1132.8527456978493
73,DP,1098,376,224,461.93410144151505,425.76137997632867,0.006681624974589795,8.499380207998911,0.75,263.96234368086573
73,DOTS,1098,972,730,23.231985793289805,21.41739470023021,0.02961087500443682,7.913161917007528,0.75,13.27542045330846
73,SQUISH,1098,109,44,2782.9222901018106,2564.9627940695927,0.005106583994347602,6.87583687499864,0.75,1590.241308629606
74,DP,1417,367,328,237.47377387368945,218.87991935274428,0.007025040977168828,9.85288695798954,0.75,135.69929935639396
74,DOTS,1417,937,728,28.100269101119952,194.022875430195,0.029126124980393797,9.730914041982032,0.75,16.0572966292114
74,SQUISH,1417,141,30,2595.927017356328,2392.610171894154,0.32910054200328887,8.292684082989581,0.75,1483.386867060759
75,DP,1714,333,204,374.8470503286808,345.4926552734635,0.008749458997044712,11.32009641698096,0.75,214.19831447353187
75,DOTS,1714,966,692,28.71154808931998,26.468129286004956,0.034321249986533076,11.328681375016458,0.75,16.406598908182847
75,SQUISH,1714,171,50,1580.7802607103652,1456.9726200948094,0.005457791005028412,8.308290834043873,0.75,903.3030061202087
76,DP,998,367,250,387.1971017237376,356.87726155391096,0.006295166997006163,8.11758495902177,0.75,221.25548669927863
76,DOTS,998,663,576,16.447508154576113,15.164605725920095,0.026687374978791922,7.589492708008038,0.75,9.398576088329207
76,SQUISH,998,99,28,3082.1201493585368,2840.7219983761206,0.004257416992913932,6.911530250014039,0.75,1761.211513919164
77,DP,1663,255,180,311.8122665946833,287.39416431303016,0.007267957989824936,9.390181624010438,0.75,178.17843805410476
77,DOTS,1663,777,578,31.32492328835994,28.876363288219846,0.03527987498091534,12.868987958994694,0.75,17.89995616477711
77,SQUISH,1663,166,14,2832.896398456312,2611.0169256663853,0.005552125017857179,9.713693582976703,0.75,1618.7979419750354
78,DP,985,5,6,3124.83517180156,2840.9076197412205,0.0048835420166142285,6.970914875972085,0.75,1785.62009817232
78,DOTS,985,143,86,27.85291311301387,25.674843884471404,0.02623458398738876,7.106388624000829,0.75,15.91595035029364
78,SQUISH,985,98,44,51.694709292389206,47.64390798985528,0.004198999988147989,6.607065000018338,0.75,29.53983388136526
79,DP,1766,196,150,303.30251116665835,279.5512978460819,0.006015916995238513,9.347135165997315,0.75,173.31572066666192
79,DOTS,1766,677,516,20.013267226983913,18.45115816195171,0.03927929201745428,10.329864583007293,0.75,11.436152701133665
79,SQUISH,1766,176,62,1049.614420814094,967.4091678978056,0.004453708999790251,9.715107833995717,0.75,599.7796690366251
80,DP,1193,225,126,308.16083245380156,284.02823717852755,0.005802333995234221,7.805521000002045,0.75,176.09190425931519
80,DOTS,1193,956,574,31.305778326291602,28.859243734445023,0.027821916999528185,8.135912666970398,0.75,17.889016186452345
80,SQUISH,1193,119,28,1310.6884647563788,1208.0341511781055,0.004353791999164969,7.109892333013704,0.75,748.964837003645
81,DP,1795,315,308,199.53895315258907,183.91555323564515,0.008225875004427508,11.597049500007415,0.75,114.02225894433661
81,DOTS,1795,730,558,22.980174555601916,21.185062142581568,0.03853916600928642,11.775660917017376,0.75,13.13152831748681
81,SQUISH,1795,179,62,1791.5384184549066,1651.224370845173,0.0052528340020217,8.121406125021167,0.75,1023.7362391170894
82,DP,662,97,72,232.7587325358867,214.5305290993663,0.008842375013045967,8.86702883199905,0.75,133.00499002050668
82,DOTS,662,462,294,26.655795806604935,24.573405088277923,0.022007916995789856,6.420884792023571,0.75,15.231883318059962
82,SQUISH,662,66,22,666.5878541207811,614.3775637118673,0.004476459027500823,6.30837120799697,0.75,380.90734521187494
83,DP,973,400,232,441.8699680772305,407.26799566995845,0.006196207978064194,8.478623542003334,0.75,252.4971246155603
83,DOTS,973,827,680,25.70412324856167,23.696271097060574,0.025712207978358492,8.114866082993103,0.75,14.688070427749526
83,SQUISH,973,97,28,2595.489176320429,2392.20913434468,0.004044542001793161,6.7353752909984905,0.75,1483.1366721831023
84,DP,2643,412,236,358.36058584350155,330.2959975315494,0.010251458006678149,12.208673582994379,0.75,204.77747762485802
84,DOTS,2643,1634,1052,28.693561954056023,26.451792112663274,0.04065350000746548,14.941064416983863,0.75,16.396321116603442
84,SQUISH,2643,264,66,1577.2212917291943,1453.6915483997398,0.005348958016838878,11.961071375000756,0.75,901.2693095595396
85,DP,1657,554,410,328.82732866597144,303.07977496808644,0.008836041990434751,11.432635209028376,0.75,187.9013306662694
85,DOTS,1657,1445,1062,28.23957948913925,26.032684808542303,0.05862637498648837,10.107955917017534,0.75,16.136902565222428
85,SQUISH,1657,165,68,2233.1716624091328,2058.2691899594074,0.005225208995398134,9.503311292006401,0.75,1276.0980928052188
86,DP,1054,319,254,262.07592991811515,241.5545577071813,0.0069311250117607415,7.571212626004126,0.75,149.75767423892293
86,DOTS,1054,843,622,29.536354297829774,27.22836558296338,0.02693237501080148,7.469131126010325,0.75,16.877916741617014
86,SQUISH,1054,105,38,2211.5057691440143,2038.2960782249143,0.004895666992524639,6.927448166999966,0.75,1263.7175823680082
87,DP,1265,435,342,273.82234455668106,252.38108323597274,0.007769415999064222,8.149703416973352,0.75,156.46991117524632
87,DOTS,1265,1167,826,26.710416303734473,24.623270029463786,0.028072541987057775,7.598026583989849,0.75,15.263095030705413
87,SQUISH,1265,126,44,2657.113523881684,2449.0065509510423,0.00410945899784565,8.011725249001756,0.75,1518.350585075248
88,DP,1274,414,232,478.2174491960017,440.7661136810223,0.007219582999823615,9.183364875003463,0.75,273.2671138262867
88,DOTS,1274,1073,792,31.32479243361994,28.876560603891104,0.027893749997019768,8.498744500015164,0.75,17.899881390639965
88,SQUISH,1274,127,40,2910.4437667104926,2682.49518633326,0.004615957994246855,7.47538966598222,0.75,1663.1107238345671
89,DP,1585,552,536,201.65763503486932,185.86794101944443,0.007964542019180954,11.33086745798937,0.75,115.2329343056396
89,DOTS,1585,1385,1004,23.69932317964926,21.847770117258086,0.03137179100303911,11.578257375018438,0.75,13.542470388371004
89,SQUISH,1585,158,58,3555.6321324086225,3277.1459855708636,0.004537540982710198,8.630762249988038,0.75,2031.7897899477844
90,DP,1254,407,262,405.34960616235196,373.60998841500253,0.00722837500507012,9.521328792034183,0.75,231.62834637848684
90,DOTS,1254,1113,844,24.853515204928982,23.094616784762774,0.028537791018607095,9.844293500005733,0.75,14.202008688530848
90,SQUISH,1254,125,44,2343.6339943532207,2152.2336903464097,0.00463170898729004,7.159938792028697,0.75,1339.2194253446976
91,DP,1770,8,12,146.7901459223105,135.29000487310608,0.006202125019626692,8.056333333981456,0.75,83.88008338417742
91,DOTS,1770,201,94,25.346254768447096,23.365596228634086,0.0348506250011269,9.055127625993919,0.75,14.48357415339834
91,SQUISH,1770,177,70,36.55433032762479,33.69587810181309,0.0051691249827854335,9.97668037499534,0.75,20.888188758642737
92,DP,754,242,190,280.27203376612937,258.3254029925391,0.005707999982405454,6.096965708013158,0.75,160.15544786635965
92,DOTS,754,469,402,28.629790887706115,26.392387502505517,0.026065832993481308,5.864103623986011,0.75,16.359880507260637
92,SQUISH,754,75,20,2257.8797933700603,2081.0383500508665,0.0040282080008182675,5.6160621250164695,0.75,1290.2170247828915
93,DP,1680,174,116,312.79024460758706,288.2967173690355,0.007080041978042573,9.216761542018503,0.75,178.7372826329069
93,DOTS,1680,761,518,30.518554198587207,28.133014203393078,0.033213957998668775,15.453845750016626,0.75,17.43917382776412
93,SQUISH,1680,168,66,493.42429878390743,454.7770967502201,0.004321499989600852,8.603521626006113,0.75,281.95674216223284
94,DP,1629,209,204,198.50606578855238,182.96275331036864,0.006810291990404949,11.566473332990427,0.75,113.4320375934585
94,DOTS,1629,521,402,23.18280077278993,21.37180835318969,0.04130133299622685,9.656536208000034,0.75,13.247314727308531
94,SQUISH,1629,162,64,954.7405674867658,879.9667376217593,0.004876541992416605,8.0617640420096,0.75,545.5660385638662
95,DP,838,239,128,542.8126736121548,500.30085519371585,0.005462000000989065,6.452431084006093,0.75,310.178670635517
