id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
35,SQUISH,5621,562,194,77.6149127739528,65.68188851678113,0.012396958991303109,2.08397,0.8,43.11939598552933
39,DP,1890,498,412,297.4182054342215,251.67905853229635,0.012370124997687526,0.57845,0.8,165.23233635234527
39,DOTS,1890,1246,1000,27.157281169576894,179.9416266162751,0.020037750000483356,0.7053200000000001,0.8,15.087378427542719
39,SQUISH,1890,189,58,2528.216905044804,2139.3737435570706,0.005918082999414764,0.79053,0.8,1404.5649472471134
40,DP,7,6,14,0.0,0.004881548125270566,0.003882834003889002,0.0,0.7,0.0
40,DOTS,7,7,14,0.0,0.004881548125270566,0.02007854099792894,0.0,0.7,0.0
40,SQUISH,7,1,-1,,-1,0.0034098329924745485,-1,-1,-1
38,DP,1446,355,240,394.0810311408652,333.47552540851984,0.009333208014140837,0.56751,0.8,218.93390618936957
38,DOTS,1446,705,592,27.944001032202713,23.652191721344632,0.020415708000655286,0.55808,0.8,15.524445017890397
38,SQUISH,1446,144,70,1902.56910798414,1609.9506072457266,0.006157084004371427,0.68398,0.8,1056.9828377689666
43,DP,5,5,10,0.0,0.004622599544535904,0.0037766669993288815,0.0,0.7,0.0
43,DOTS,5,5,10,0.0,0.004622599544535904,0.014809041997068562,0.0,0.7,0.0
43,SQUISH,5,1,-1,,-1,0.00380533401039429,-1,-1,-1
41,DP,1792,344,356,199.5133662941376,168.83243458834295,0.009990958991693333,0.7098099999999999,0.8,110.84075905229867
41,DOTS,1792,842,632,29.989361111095807,25.38287655303888,0.021628792004776187,0.62883,0.8,16.660756172831004
41,SQUISH,1792,179,62,1910.781208571776,1616.9016265433881,0.005183334011235274,0.71975,0.8,1061.545115873209
45,DP,3,3,6,0.0,0.0007500858199591676,0.0041417500033276156,0.0,0.7,0.0
45,DOTS,3,3,6,0.0,0.0007500858199591676,0.024144291994161904,0.0,0.7,0.0
45,SQUISH,3,1,-1,,-1,0.0052972499979659915,-1,-1,-1
42,DP,1575,19,16,259.05556802875924,219.21208979000775,0.007142542002839036,0.63971,0.8,143.91976001597735
42,DOTS,1575,211,118,30.12159402614198,25.489339581869736,0.019132291999994777,0.63015,0.8,16.734218903412213
42,SQUISH,1575,157,82,49.554987956211626,41.935261520193166,0.005841249992954545,0.58541,0.8,27.530548864562014
44,DP,1603,212,210,197.21346289930395,166.88633695152345,0.008221625001169741,0.65165,0.8,109.56303494405775
44,DOTS,1603,570,440,30.958232641361167,26.202869626725413,0.01849512499757111,0.60466,0.8,17.19901813408954
44,SQUISH,1603,160,50,1272.0520802497874,1076.4102547808357,0.005485292000230402,0.65711,0.8,706.6956001387708
47,DP,8,6,8,0.9359402999759509,0.7953301743514586,0.003458040999248624,0.00239,0.8,0.5199668333199727
47,DOTS,8,7,16,0.0,0.004272953071379053,0.013851542011252604,0.0,0.7,0.0
47,SQUISH,8,1,-1,,-1,0.0033471670030849054,-1,-1,-1
46,DP,1693,190,170,219.1393207282152,185.43750105114532,0.007647209000424482,0.5480700000000001,0.8,121.74406707123067
46,DOTS,1693,894,634,31.36637953927302,26.54737878558118,0.02038787500350736,0.5744,0.8,17.425766410707233
46,SQUISH,1693,169,64,565.2790494264402,478.33693659901286,0.005047124999691732,0.7017100000000001,0.8,314.0439163480223
49,DP,763,245,260,199.4032402399964,168.74083008128525,0.006076250007026829,0.2538,0.8,110.7795779111091
49,DOTS,763,668,506,19.49958137735975,16.5065795547853,0.01914212499104906,0.23131000000000002,0.8,10.83310076519986
49,SQUISH,763,76,36,2491.22196980629,2095.5971916065655,0.0041407909884583205,0.36735,0.8,1384.0122054479389
48,DP,905,243,196,354.02924338762443,299.58433166073314,0.005689415993401781,0.35768,0.8,196.6829129931247
48,DOTS,905,457,402,13.581427365295433,11.498603872133698,0.017518332999316044,0.323,0.8,7.545237425164129
48,SQUISH,905,90,44,2194.4083843344592,1856.9047202922366,0.005334749992471188,0.39087,0.8,1219.1157690746995
50,DP,576,207,206,250.46869529439667,211.95211020149105,0.005554082992603071,0.17485,0.8,139.1492751635537
50,DOTS,576,477,374,16.33366426918832,13.8260541717625,0.018328999998630024,0.17979,0.8,9.074257927326844
50,SQUISH,576,57,28,3637.6931049871896,3078.205581246713,0.006526041994220577,0.23553,0.8,2020.940613881772
51,DP,858,153,162,229.22932055952373,193.97763759665193,0.007802125008311123,0.31111,0.8,127.34962253306874
51,DOTS,858,679,456,26.80675670871812,22.688422482969653,0.017760999995516613,0.33027999999999996,0.8,14.89264261595451
51,SQUISH,858,85,48,979.7611542096273,829.0710270958451,0.003841083002043888,0.30544,0.8,544.3117523386818
52,DP,1059,6,8,177.7595512241864,150.42143722816832,0.008806583005934954,0.5043,0.8,98.7553062356591
52,DOTS,1059,181,144,20.578472207477997,17.417840125962524,0.016906374992686324,0.44383,0.8,11.432484559709998
52,SQUISH,1059,105,42,64.18856854500756,54.31875205952399,0.004390083995531313,0.39501,0.8,35.66031585833753
54,DP,1636,403,362,250.28513680515957,211.79553835783153,0.009972500003641471,0.6117,0.8,139.04729822508864
54,DOTS,1636,1022,798,30.108025600649952,25.483286025321664,0.018787374996463768,0.5714,0.8,16.726680889249973
54,SQUISH,1636,163,76,1719.5444827277395,1455.0747551000682,0.006225083998288028,0.6048600000000001,0.8,955.3024904042996
53,DP,1837,85,38,531.1332048455772,449.44480868037795,0.010836749992449768,0.82125,0.8,295.07400269198735
53,DOTS,1837,716,454,29.778825187448046,25.20263361987951,0.019470541999908164,0.64762,0.8,16.543791770804468
