id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
53,SQUISH,1837,183,88,258.13598350493896,218.4365476677105,0.006250416001421399,0.8235800000000001,0.8,143.40887972496608
55,DP,1552,237,170,383.13831452124055,324.2154514719688,0.007723000002442859,0.75705,0.8,212.85461917846698
55,DOTS,1552,617,464,28.38011314413526,24.020448412653508,0.018460375009453855,0.65351,0.8,15.76672952451959
55,SQUISH,1552,155,66,1244.7970653607913,1053.3453625903296,0.006621708002057858,0.66277,0.8,691.5539252004396
57,DP,676,231,126,699.8160541219102,592.1879241911206,0.006691167000099085,0.24343,0.8,388.7866967343945
57,DOTS,676,586,432,30.087762638991475,25.46485398855318,0.025819000002229586,0.21764,0.8,16.715423688328595
57,SQUISH,676,67,24,3783.092229750464,3201.241951155341,0.005203875000006519,0.2341,0.8,2101.717905416924
56,DP,1799,400,290,449.2397705086244,380.1504977415568,0.008952124990173616,0.77193,0.8,249.57765028256912
56,DOTS,1799,952,742,29.055728356987125,24.591585801111417,0.020313834000262432,0.68511,0.8,16.14207130943729
56,SQUISH,1799,179,90,1867.2399776257084,1580.0571662910866,0.005581125005846843,0.82462,0.8,1037.3555431253935
59,DP,1721,82,50,360.3070105251181,304.894170918448,0.007958417001646012,0.68644,0.8,200.17056140284336
59,DOTS,1721,410,294,27.621355842949544,23.377640985699877,0.01759012500406243,0.7644099999999999,0.8,15.345197690527524
59,SQUISH,1721,172,70,240.19011698354228,203.25393826036563,0.005313874993589707,0.65022,0.8,133.4389538797457
58,DP,1791,350,320,286.24822102010063,242.22609979099545,0.009055333997821435,0.6615800000000001,0.8,159.02678945561146
58,DOTS,1791,793,646,27.14766593755164,22.97803672315965,0.03206637500261422,0.76755,0.8,15.082036631973132
58,SQUISH,1791,179,72,1897.8805518374688,1605.9826577795002,0.00644537499465514,0.66465,0.8,1054.3780843541492
60,DP,1714,3,6,221.39281544090574,187.33835444183939,0.006753833993570879,0.90665,0.8,122.99600857828096
60,DOTS,1714,121,68,21.653735901028753,18.324543355817504,0.01816500000131782,0.6144700000000001,0.8,12.029853278349307
60,SQUISH,1714,171,44,35.11883481009911,29.72039812713905,0.005800999992061406,0.57089,0.8,19.510463783388392
62,DP,1673,3,4,90.78016036567067,71.04850263903771,0.006975291995331645,0.34582999999999997,0.8,50.43342242537259
62,DOTS,1673,66,40,13.981452055547276,11.829501945719942,0.021409583001513965,0.56392,0.8,7.767473364192931
62,SQUISH,1673,167,60,8.812766596974264,7.458902014499108,0.0058514580014161766,0.61793,0.8,4.89598144276348
61,DP,1749,528,274,578.0153430181093,489.1204502508813,0.009077791997697204,0.5825,0.8,321.11963501006073
61,DOTS,1749,1153,922,26.677419154996038,22.580002943335117,0.023128041997551918,0.5838,0.8,14.820788419442243
61,SQUISH,1749,174,56,3299.5734963162404,2792.0887438993664,0.005429124998045154,0.65977,0.8,1833.0963868423557
63,DP,1697,616,300,722.5014268004281,611.3854710014299,0.026907082996331155,0.65904,0.8,401.3896815557934
63,DOTS,1697,1352,1132,24.885732951240136,21.064135431551296,0.018503290993976407,0.57245,0.8,13.825407195133408
63,SQUISH,1697,169,56,3937.585710707999,3331.9766315917295,0.006828083001892082,0.82194,0.8,2187.5476170599995
67,DP,4,2,8,0.0,0.0,0.0033222500060219318,0.0,0.7,0.0
67,DOTS,4,2,8,0.0,0.0,0.016262125005596317,0.0,0.7,0.0
67,SQUISH,4,1,-1,,-1,0.0036950409994460642,-1,-1,-1
64,DP,1374,556,528,241.92655106964528,204.7233121193182,0.008959541999502108,0.45242,0.8,134.40363948313626
64,DOTS,1374,1244,1000,24.597822694354406,20.819979683916173,0.021112124988576397,0.45823,0.8,13.665457052419114
64,SQUISH,1374,137,40,4440.809256235122,3757.801145021761,0.004346749992691912,0.61703,0.8,2467.1162534639566
66,DP,1009,143,134,199.59771334294925,168.9030534367244,0.012135291995946318,0.37543,0.8,110.8876185238607
66,DOTS,1009,771,472,30.72359203508534,26.003071973597685,0.018605167002533562,0.32038,0.8,17.068662241714076
66,SQUISH,1009,100,30,1048.2218244347728,886.9997217768889,0.00964600000588689,0.38839999999999997,0.8,582.3454580193182
65,DP,1223,520,290,501.4503829893398,424.32902772050886,0.008295417006593198,0.44167,0.8,278.58354610518876
65,DOTS,1223,1156,938,30.278098329278457,25.62582961293995,0.019641874998342246,0.37018,0.8,16.82116573848803
